,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
6015,H,54,40,W,L,D,D,L,W,24,-7,14,-1,-11.0
6016,H,47,25,W,W,D,L,D,L,9,-27,22,6,-8.0
6017,H,36,44,W,L,W,W,D,D,-9,8,-8,-2,7.0
6018,D,37,39,L,L,L,D,L,L,-6,9,-2,-3,9.0
6019,D,51,58,D,D,W,W,W,D,12,22,-7,4,9.0
6020,H,51,47,W,W,D,D,W,L,9,-3,4,2,-3.0
6021,A,27,69,L,D,D,W,W,W,-21,24,-42,-9,2.0
6022,H,62,53,D,W,W,L,W,W,32,9,9,-1,1.0
6023,D,37,40,W,D,L,D,D,L,-7,9,-3,3,-1.0
6024,A,44,57,L,W,D,W,W,L,7,25,-13,-2,-1.0
6025,D,40,47,D,D,L,L,W,W,9,8,-7,-5,4.0
6026,H,53,16,L,W,W,L,L,L,9,-40,37,9,-13.0
6027,H,25,37,L,L,D,D,W,L,-29,-9,-12,-9,7.0
6028,A,31,27,W,W,D,L,D,D,-21,-21,4,3,4.0
6029,A,40,38,L,D,L,D,L,L,-8,-6,2,4,-7.0
6030,D,60,38,D,D,W,D,W,D,22,-7,22,4,-7.0
6031,A,41,54,W,L,L,W,W,W,-15,13,-13,-1,14.0
6032,D,72,53,W,W,W,D,D,D,26,12,19,8,2.0
6033,A,47,65,L,D,W,W,D,W,-6,35,-18,-6,4.0
6034,D,28,60,W,L,L,W,W,W,-26,28,-32,-6,13.0
6035,H,54,41,W,W,W,D,D,D,13,9,13,7,-5.0
6036,H,56,38,W,L,W,D,W,D,10,-7,18,4,-6.0
6037,H,53,41,D,D,D,W,D,L,12,-5,12,3,-8.0
6038,H,60,40,D,D,W,L,L,D,22,-9,20,5,-10.0
6039,A,16,50,L,L,L,W,L,W,-41,10,-34,-10,10.0
6040,A,41,47,L,W,L,W,L,L,-16,7,-6,-1,19.0
6041,D,55,29,D,W,W,D,W,L,13,-26,26,6,-9.0
6042,H,61,47,D,W,W,L,L,D,28,-10,14,6,-7.0
6043,H,73,40,D,W,W,L,W,D,26,-11,33,6,6.0
6044,D,31,63,D,W,L,W,D,D,-18,24,-32,-5,13.0
6045,D,68,40,W,W,D,L,L,L,39,-11,28,12,-8.0
6046,H,63,31,W,D,D,L,L,W,24,-25,32,4,-17.0
6047,H,41,41,L,D,D,L,W,L,5,-16,0,-3,-9.0
6048,H,29,39,D,W,L,D,D,W,-26,-7,-10,-1,5.0
6049,D,47,31,L,L,D,D,W,L,-10,-18,16,-2,-7.0
6050,H,44,16,W,L,W,L,L,L,-6,-44,28,7,3.0
6051,A,41,59,D,L,L,W,W,D,-11,17,-18,-7,1.0
6052,D,60,76,D,W,W,W,D,W,12,30,-16,-3,-10.0
6053,H,54,64,W,D,W,W,D,W,12,32,-10,-3,5.0
6054,H,40,55,L,L,W,L,D,W,-15,11,-15,-3,2.0
6055,D,48,69,D,W,L,D,W,W,7,39,-21,-4,-4.0
6056,D,16,30,L,L,L,D,D,W,-44,-26,-14,-5,2.0
6057,D,41,41,L,L,W,D,L,L,-19,-11,0,1,7.0
6058,H,39,47,L,D,D,L,L,L,-9,-14,-8,2,1.0
6059,H,76,44,W,D,W,W,L,D,30,6,32,7,3.0
6060,A,31,63,L,L,L,W,D,W,-27,13,-32,-7,16.0
6061,H,35,48,W,D,D,L,D,W,-17,6,-13,4,15.0
6062,A,59,43,L,W,W,W,L,L,14,-13,16,1,4.0
6063,H,58,44,W,L,D,L,W,L,13,-8,14,3,-14.0
6064,D,64,67,L,W,D,W,D,W,30,25,-3,1,-1.0
6065,A,70,57,D,D,W,W,W,D,39,14,13,-1,-2.0
6066,H,59,63,L,W,W,W,D,W,14,13,-4,-2,8.0
6067,D,58,48,W,L,D,L,D,W,13,6,10,6,5.0
6068,H,31,44,L,L,L,L,W,L,-27,-8,-13,-4,0.0
6069,H,35,44,W,D,D,L,W,L,-17,4,-9,3,5.0
6070,H,68,17,D,W,D,D,L,L,25,-45,51,8,-14.0
6071,D,49,80,D,L,D,W,D,W,6,32,-31,-6,-13.0
6072,H,44,34,L,L,W,W,L,L,1,-25,10,1,-9.0
6073,H,34,70,D,W,D,L,D,D,-25,38,-36,1,10.0
6074,H,60,42,W,W,W,W,L,L,15,-9,18,8,-3.0
6075,H,48,62,L,D,L,W,L,W,-15,15,-14,-9,-3.0
6076,D,46,65,W,W,L,D,L,W,-10,30,-19,1,6.0
6077,D,44,38,L,L,W,W,W,D,-10,-14,6,-5,4.0
6078,D,42,59,D,L,D,D,W,L,-14,13,-17,-6,7.0
6079,H,63,42,L,W,D,D,L,L,12,-20,21,6,-16.0
6110,H,4,2,W,D,L,D,L,D,1,-2,2,2,-4.0
6111,H,1,4,D,L,L,D,L,W,-3,0,-3,-3,2.0
6112,D,3,6,L,W,L,L,W,W,-2,2,-3,-3,0.0
6113,H,4,4,D,L,W,W,D,L,-1,0,0,0,7.0
6114,A,9,9,W,W,W,W,W,W,5,6,0,0,1.0
6115,A,5,1,D,W,D,D,L,L,1,-2,4,4,5.0
6116,A,1,5,L,L,D,D,W,D,-4,1,-4,-4,6.0
6117,A,3,1,L,W,L,L,L,D,-2,-3,2,2,-6.0
6118,D,3,9,L,L,W,W,W,W,-2,5,-6,-6,2.0
6119,A,1,7,D,L,L,W,W,D,-2,2,-6,-6,6.0
6120,A,10,7,D,W,W,W,D,L,5,2,3,3,2.0
6121,H,10,5,W,W,W,L,D,W,5,0,5,5,-9.0
6122,A,7,7,D,L,W,W,W,D,2,2,0,0,18.0
6123,H,4,4,L,W,D,D,L,W,-3,-2,0,0,-19.0
6124,H,12,4,W,W,W,W,D,L,7,-2,8,8,-12.0
6125,H,4,3,L,D,L,L,L,W,-1,-4,1,1,7.0
6126,H,4,1,W,D,L,L,L,L,-1,-8,3,3,6.0
6127,H,2,4,L,D,L,D,L,L,-3,-2,-2,-2,-6.0
6128,H,8,1,W,D,W,L,D,L,5,-5,7,7,-14.0
6129,H,4,9,W,L,L,L,W,W,-1,4,-5,-5,8.0
6130,H,10,10,W,W,W,L,D,W,5,4,0,0,-8.0
6131,H,4,13,L,W,D,W,W,W,-6,7,-9,-9,5.0
6132,H,10,7,W,W,D,L,D,L,3,-1,3,3,-12.0
6133,H,9,7,L,L,W,W,L,W,2,0,2,2,4.0
6134,A,5,11,L,L,D,W,W,D,-2,6,-6,-6,17.0
6135,D,1,7,L,L,L,W,L,D,-11,1,-6,-6,-5.0
6136,A,1,7,L,L,D,W,W,D,-6,2,-6,-6,2.0
6137,A,4,15,L,D,L,W,W,W,-3,11,-11,-11,8.0
6138,A,3,5,L,L,L,W,L,D,-6,-2,-2,-2,1.0
6139,H,4,7,L,D,L,W,W,L,-5,1,-3,-3,7.0
6140,D,13,10,L,W,W,W,W,W,6,3,3,2,-4.0
6141,A,7,10,L,L,D,L,L,D,-5,1,-3,-3,10.0
6142,D,1,8,L,L,L,D,W,L,-7,1,-7,-4,3.0
6143,A,4,13,L,L,D,W,W,W,-5,7,-9,-9,4.0
