,HTP,ATP,HTGD,ATGD,DiffFormPts,DiffPts,FTR
4058,0.4426351640626411,-0.26108204780573796,0.1360131307590325,-1.2564399431430913,1.534302804727705,0.8248018431205786,D
4059,1.5396914241731707,1.0704722349386717,2.031048514704372,1.1024271399406897,0.4649248127170244,0.5538356151799919,H
4060,0.5581147703900653,1.12836589940582,0.07066708303677942,0.5782344548109607,-0.8183287776957923,-0.6655124105526481,A
4061,-0.019283261247055646,-0.2031883833385897,-1.1055617759637761,-1.190915857501875,0.25104921431488836,0.21512783025425863,D
4062,0.3271555577352169,0.1441736034642998,-0.06002501240772677,-0.20805457288363297,-0.17670198248938387,0.21512783025425863,H
4063,0.1539361482440806,1.0125785704715236,0.005321035314526323,1.5610957394292027,-0.39057758089151995,-1.0042201954783814,D
4064,0.1539361482440806,0.2599609323985963,-0.6481394419080047,0.11956585532244773,0.6788004111191605,-0.1235799546714747,A
4065,-0.019283261247055646,-0.2031883833385897,-1.1055617759637761,-1.2564399431430913,0.4649248127170244,0.21512783025425863,D
4066,0.09619634508036853,1.12836589940582,-0.7134854896302577,0.5782344548109607,-2.1015823681086085,-1.2074448664338213,H
4067,1.4819516210094588,0.3178545968657446,1.9003564192598659,-0.14253048724241682,1.534302804727705,1.366734299001752,H
4068,0.09619634508036853,0.20206726793144805,-0.97486968051927,-0.5356750010897136,0.4649248127170244,-0.1235799546714747,H
